State,County,Poor or fair health,Poor mental health days,Health care costs
AL,Walker County,0.35,6.5,11134.0
AL,Walker County,0.35,6.5,11534.0
AL,Washington County,0.211,3.2,9489.0
AL,Washington County,0.211,3.2,11068.0
AL,Wilcox County,0.305,3.6,9077.0
AL,Wilcox County,0.305,3.6,8682.0
AL,Winston County,0.211,6.5,11328.0
AL,Winston County,0.211,6.5,11474.0
AR,Arkansas County,0.287,4.0,9355.0
AR,Arkansas County,0.287,4.0,9119.0
AR,Ashley County,0.252,3.0,10637.0
AR,Ashley County,0.252,3.0,11247.0
AR,Baxter County,0.175,4.1,8691.0
AR,Baxter County,0.175,4.1,9212.0
AR,Benton County,0.125,3.0,9248.0
AR,Benton County,0.125,3.0,8931.0
AR,Boone County,0.168,4.0,8977.0
AR,Boone County,0.168,4.0,8981.0
AR,Bradley County,0.186,3.7,11667.0
AR,Bradley County,0.186,3.7,11192.0
AR,Calhoun County,0.217,,9474.0
AR,Calhoun County,0.217,,9900.0
AR,Carroll County,0.178,4.1,7980.0
AR,Carroll County,0.178,4.1,8749.0
AR,Chicot County,0.249,3.9,9498.0
AR,Chicot County,0.249,3.9,9410.0
AR,Clark County,0.219,2.6,8704.0
AR,Clark County,0.219,2.6,8432.0
AR,Clay County,0.284,3.4,10526.0
AR,Clay County,0.284,3.4,10958.0
AR,Cleburne County,0.241,4.5,8402.0
AR,Cleburne County,0.241,4.5,8148.0
AR,Cleveland County,0.215,4.9,9324.0
AR,Cleveland County,0.215,4.9,10553.0
AR,Columbia County,0.24,4.6,10082.0
AR,Columbia County,0.24,4.6,9604.0
AR,Conway County,0.227,6.2,8944.0
AR,Conway County,0.227,6.2,8668.0
AR,Craighead County,0.176,3.5,9272.0
AR,Craighead County,0.176,3.5,9351.0
AR,Crawford County,0.2,4.4,9977.0
AR,Crawford County,0.2,4.4,9884.0
AR,Crittenden County,0.208,4.2,9806.0
AR,Crittenden County,0.208,4.2,9794.0
AR,Cross County,0.21,4.5,9960.0
AR,Cross County,0.21,4.5,9913.0
AR,Dallas County,0.233,,10003.0
AR,Dallas County,0.233,,9256.0
AR,Desha County,0.209,4.2,10080.0
AR,Desha County,0.209,4.2,10304.0
AR,Drew County,0.193,4.7,10931.0
AR,Drew County,0.193,4.7,11110.0
AR,Faulkner County,0.173,3.5,8835.0
AR,Faulkner County,0.173,3.5,9099.0
AR,Franklin County,0.257,5.0,8528.0
AR,Franklin County,0.257,5.0,9154.0
AR,Fulton County,0.235,3.3,9862.0
AR,Fulton County,0.235,3.3,9725.0
AR,Garland County,0.187,5.3,9358.0
AR,Garland County,0.187,5.3,9584.0
AR,Grant County,0.242,5.0,10694.0
AR,Grant County,0.242,5.0,10257.0
AR,Greene County,0.143,3.3,10354.0
AR,Greene County,0.143,3.3,10077.0
AR,Hempstead County,0.3,3.9,10328.0
AR,Hempstead County,0.3,3.9,10429.0
AR,Hot Spring County,0.28,5.8,9731.0
AR,Hot Spring County,0.28,5.8,10133.0
AR,Howard County,0.189,3.1,10126.0
AR,Howard County,0.189,3.1,9777.0
AR,Independence County,0.219,4.4,11461.0
AR,Independence County,0.219,4.4,11191.0
AR,Izard County,0.285,6.0,9611.0
AR,Izard County,0.285,6.0,10610.0
AR,Jackson County,0.292,4.7,11387.0
AR,Jackson County,0.292,4.7,11390.0
AR,Jefferson County,0.177,4.1,8651.0
AR,Jefferson County,0.177,4.1,8694.0
AR,Johnson County,0.253,3.4,8335.0
AR,Johnson County,0.253,3.4,8350.0
AR,Lafayette County,0.122,5.2,10779.0
AR,Lafayette County,0.122,5.2,9867.0
AR,Lawrence County,0.249,,10418.0
AR,Lawrence County,0.249,,11110.0
AR,Lee County,0.304,4.0,8395.0
AR,Lee County,0.304,4.0,9391.0
AR,Lincoln County,0.275,3.0,9195.0
AR,Lincoln County,0.275,3.0,10605.0
AR,Little River County,0.171,4.0,10872.0
AR,Little River County,0.171,4.0,10904.0
AR,Logan County,0.202,2.9,9197.0
AR,Logan County,0.202,2.9,9331.0
AR,Lonoke County,0.169,3.9,10182.0
AR,Lonoke County,0.169,3.9,10704.0
AR,Madison County,0.216,2.1,8028.0
AR,Madison County,0.216,2.1,7764.0
AR,Marion County,0.142,4.2,8410.0
AR,Marion County,0.142,4.2,8752.0
AR,Miller County,0.248,4.2,10529.0
AR,Miller County,0.248,4.2,10511.0
AR,Mississippi County,0.257,4.8,10360.0
AR,Mississippi County,0.257,4.8,10060.0
AR,Monroe County,0.275,,9437.0
AR,Monroe County,0.275,,9349.0
AR,Montgomery County,0.2,4.6,8724.0
AR,Montgomery County,0.2,4.6,8078.0
AR,Nevada County,0.36,10.1,9693.0
AR,Nevada County,0.36,10.1,8951.0
AR,Newton County,0.188,3.7,7455.0
AR,Newton County,0.188,3.7,7476.0
AR,Ouachita County,0.231,6.1,9017.0
AR,Ouachita County,0.231,6.1,9470.0
AR,Perry County,0.315,4.1,9128.0
AR,Perry County,0.315,4.1,9124.0
AR,Phillips County,0.228,5.0,8899.0
AR,Phillips County,0.228,5.0,8275.0
AR,Pike County,0.22,3.1,8677.0
AR,Pike County,0.22,3.1,9283.0
AR,Poinsett County,0.25,6.6,10786.0
AR,Poinsett County,0.25,6.6,11464.0
AR,Polk County,0.235,4.0,9549.0
AR,Polk County,0.235,4.0,9615.0
AR,Pope County,0.182,3.2,8876.0
AR,Pope County,0.182,3.2,9075.0
AR,Prairie County,0.169,3.1,9867.0
AR,Prairie County,0.169,3.1,10741.0
AR,Pulaski County,0.152,3.3,9415.0
AR,Pulaski County,0.152,3.3,9406.0
AR,Randolph County,0.247,5.2,9665.0
AR,Randolph County,0.247,5.2,10155.0
AR,Saline County,0.174,4.2,9562.0
AR,Saline County,0.174,4.2,9561.0
AR,Scott County,0.183,4.2,9068.0
AR,Scott County,0.183,4.2,9852.0
AR,Searcy County,0.205,5.0,8044.0
AR,Searcy County,0.205,5.0,8395.0
AR,Sebastian County,0.187,3.6,9584.0
AR,Sebastian County,0.187,3.6,9585.0
AR,Sevier County,0.266,3.7,12130.0
AR,Sevier County,0.266,3.7,12426.0
AR,Sharp County,0.343,6.6,10107.0
AR,Sharp County,0.343,6.6,10554.0
AR,St. Francis County,0.183,5.9,8846.0
AR,St. Francis County,0.183,5.9,8952.0
AR,Stone County,0.254,5.6,11389.0
AR,Stone County,0.254,5.6,10956.0
AR,Union County,0.23,4.2,9280.0
AR,Union County,0.23,4.2,9249.0
AR,Van Buren County,0.231,4.1,8953.0
AR,Van Buren County,0.231,4.1,8994.0
AR,Washington County,0.171,3.2,8727.0
AR,Washington County,0.171,3.2,8910.0
AR,White County,0.171,3.1,10382.0
AR,White County,0.171,3.1,10739.0
AR,Woodruff County,0.274,,9192.0
AR,Woodruff County,0.274,,10100.0
AR,Yell County,0.225,3.6,11190.0
AR,Yell County,0.225,3.6,10946.0
DC,District of Columbia,0.122,2.9,8340.0
DE,Kent County,0.147,3.5,9261.0
DE,Kent County,0.147,3.5,9398.0
DE,New Castle County,0.11,3.2,9272.0
DE,New Castle County,0.11,3.2,9081.0
DE,Sussex County,0.146,3.4,9472.0
DE,Sussex County,0.146,3.4,9476.0
FL,Alachua County,0.146,3.3,9515.0
FL,Alachua County,0.146,3.3,9610.0
FL,Baker County,0.289,4.7,12896.0
FL,Baker County,0.289,4.7,13241.0
FL,Bay County,0.171,5.6,11812.0
FL,Bay County,0.171,5.6,11657.0
FL,Bradford County,0.147,5.0,10846.0
FL,Bradford County,0.147,5.0,11445.0
FL,Brevard County,0.14,4.3,10808.0
FL,Brevard County,0.14,4.3,11027.0
FL,Broward County,0.137,3.4,11904.0
FL,Broward County,0.137,3.4,11895.0
FL,Calhoun County,0.358,5.5,11557.0
FL,Calhoun County,0.358,5.5,12684.0
FL,Charlotte County,0.202,5.0,10941.0
FL,Charlotte County,0.202,5.0,11220.0
FL,Citrus County,0.173,4.6,10159.0
FL,Citrus County,0.173,4.6,10290.0
FL,Clay County,0.125,3.5,11334.0
FL,Clay County,0.125,3.5,11808.0
FL,Collier County,0.168,3.6,9826.0
FL,Collier County,0.168,3.6,9862.0
FL,Columbia County,0.22,4.5,11035.0
FL,Columbia County,0.22,4.5,10739.0
FL,DeSoto County,0.162,3.5,12435.0
FL,DeSoto County,0.162,3.5,12356.0
FL,Dixie County,0.306,4.5,9433.0
FL,Dixie County,0.306,4.5,10780.0
FL,Duval County,0.169,3.8,11901.0
FL,Duval County,0.169,3.8,11880.0
FL,Escambia County,0.198,4.8,10052.0
FL,Escambia County,0.198,4.8,10245.0
FL,Flagler County,0.156,4.8,9468.0
FL,Flagler County,0.156,4.8,9895.0
FL,Franklin County,0.223,3.9,9507.0
FL,Franklin County,0.223,3.9,10638.0
FL,Gadsden County,0.205,3.3,9591.0
FL,Gadsden County,0.205,3.3,9371.0
FL,Gilchrist County,0.174,3.3,10354.0
FL,Gilchrist County,0.174,3.3,10246.0
FL,Glades County,0.187,3.3,10802.0
FL,Glades County,0.187,3.3,12661.0
FL,Gulf County,0.182,3.0,10742.0
FL,Gulf County,0.182,3.0,11085.0
FL,Hamilton County,0.263,6.2,8988.0
FL,Hamilton County,0.263,6.2,10086.0
FL,Hardee County,0.194,2.5,11440.0
FL,Hardee County,0.194,2.5,12090.0
FL,Hendry County,0.228,3.5,11382.0
FL,Hendry County,0.228,3.5,11657.0
FL,Hernando County,0.216,5.9,11675.0
FL,Hernando County,0.216,5.9,11654.0
FL,Highlands County,0.218,4.2,11616.0
FL,Highlands County,0.218,4.2,11570.0
FL,Hillsborough County,0.166,4.1,11445.0
FL,Hillsborough County,0.166,4.1,11350.0
FL,Holmes County,0.24,3.6,12193.0
FL,Holmes County,0.24,3.6,11798.0
FL,Indian River County,0.187,4.0,9856.0
FL,Indian River County,0.187,4.0,9888.0
FL,Jackson County,0.196,3.6,10534.0
FL,Jackson County,0.196,3.6,10499.0
FL,Jefferson County,0.22,4.6,8422.0
FL,Jefferson County,0.22,4.6,9371.0
FL,Lafayette County,0.231,3.9,9765.0
FL,Lafayette County,0.231,3.9,10011.0
FL,Lake County,0.153,3.6,10713.0
FL,Lake County,0.153,3.6,10635.0
FL,Lee County,0.135,4.4,10488.0
FL,Lee County,0.135,4.4,10623.0
FL,Leon County,0.099,3.2,9327.0
FL,Leon County,0.099,3.2,9431.0
FL,Levy County,0.2,4.2,9945.0
FL,Levy County,0.2,4.2,9986.0
FL,Liberty County,0.143,3.0,11388.0
FL,Liberty County,0.143,3.0,11264.0
FL,Madison County,0.184,4.3,10349.0
FL,Madison County,0.184,4.3,10556.0
FL,Manatee County,0.157,3.8,10617.0
FL,Manatee County,0.157,3.8,10289.0
FL,Marion County,0.192,4.8,10178.0
FL,Marion County,0.192,4.8,10748.0
FL,Martin County,0.147,3.3,9870.0
FL,Martin County,0.147,3.3,9767.0
FL,Miami-Dade County,0.163,3.3,15191.0
FL,Miami-Dade County,0.163,3.3,14370.0
FL,Monroe County,0.099,3.5,8785.0
FL,Monroe County,0.099,3.5,8985.0
FL,Nassau County,0.146,3.8,10043.0
FL,Nassau County,0.146,3.8,10143.0
FL,Okaloosa County,0.18,3.2,10353.0
FL,Okaloosa County,0.18,3.2,10093.0
FL,Okeechobee County,0.243,3.4,13967.0
FL,Okeechobee County,0.243,3.4,13855.0
FL,Orange County,0.153,3.2,11552.0
FL,Orange County,0.153,3.2,11466.0
FL,Osceola County,0.197,3.5,11858.0
FL,Osceola County,0.197,3.5,11446.0
FL,Palm Beach County,0.124,3.4,11608.0
FL,Palm Beach County,0.124,3.4,11461.0
FL,Pasco County,0.188,4.9,11435.0
FL,Pasco County,0.188,4.9,11459.0
FL,Pinellas County,0.139,4.0,11547.0
FL,Pinellas County,0.139,4.0,11516.0
FL,Polk County,0.206,3.7,10915.0
FL,Polk County,0.206,3.7,10978.0
FL,Putnam County,0.272,5.7,10899.0
FL,Putnam County,0.272,5.7,11263.0
FL,Santa Rosa County,0.121,3.1,10463.0
FL,Santa Rosa County,0.121,3.1,10749.0
FL,Sarasota County,0.121,4.1,9706.0
FL,Sarasota County,0.121,4.1,9729.0
FL,Seminole County,0.129,3.0,11307.0
FL,Seminole County,0.129,3.0,11449.0
FL,St. Johns County,0.116,3.3,10251.0
FL,St. Johns County,0.116,3.3,10280.0
FL,St. Lucie County,0.177,4.1,10843.0
FL,St. Lucie County,0.177,4.1,10891.0
FL,Sumter County,0.148,3.6,10483.0
FL,Sumter County,0.148,3.6,10874.0
FL,Suwannee County,0.23,4.6,9312.0
FL,Suwannee County,0.23,4.6,9758.0
FL,Taylor County,0.24,4.8,9189.0
FL,Taylor County,0.24,4.8,9394.0
FL,Union County,0.215,4.1,11519.0
FL,Union County,0.215,4.1,10531.0
FL,Volusia County,0.209,4.9,10127.0
FL,Volusia County,0.209,4.9,10099.0
FL,Wakulla County,0.187,4.4,10081.0
FL,Wakulla County,0.187,4.4,9658.0
FL,Walton County,0.203,4.4,10746.0
FL,Walton County,0.203,4.4,10928.0
FL,Washington County,0.349,5.8,11243.0
FL,Washington County,0.349,5.8,11208.0
GA,Appling County,0.239,4.5,9763.0
GA,Appling County,0.239,4.5,10563.0
GA,Atkinson County,0.296,,10290.0
GA,Atkinson County,0.296,,10454.0
GA,Bacon County,0.132,,12040.0
GA,Bacon County,0.132,,11745.0
GA,Baker County,,,8970.0
GA,Baker County,,,9011.0
GA,Baldwin County,0.29,4.7,9866.0
GA,Baldwin County,0.29,4.7,10444.0
GA,Banks County,0.16,,9091.0
GA,Banks County,0.16,,10098.0
GA,Barrow County,0.178,4.3,9934.0
GA,Barrow County,0.178,4.3,10151.0
GA,Bartow County,0.191,4.6,10323.0
GA,Bartow County,0.191,4.6,10606.0
GA,Ben Hill County,0.276,3.7,10467.0
GA,Ben Hill County,0.276,3.7,9633.0
GA,Berrien County,0.298,3.8,10357.0
GA,Berrien County,0.298,3.8,11855.0
GA,Bibb County,0.161,3.6,10165.0
GA,Bibb County,0.161,3.6,10440.0
GA,Bleckley County,0.205,3.8,10142.0
GA,Bleckley County,0.205,3.8,10382.0
GA,Brantley County,0.242,4.2,12439.0
GA,Brantley County,0.242,4.2,11564.0
GA,Brooks County,0.185,4.8,9393.0
GA,Brooks County,0.185,4.8,10654.0
GA,Bryan County,0.106,4.4,10117.0
GA,Bryan County,0.106,4.4,9651.0
GA,Bulloch County,0.197,3.6,10670.0
GA,Bulloch County,0.197,3.6,10533.0
GA,Burke County,0.225,,8749.0
GA,Burke County,0.225,,8162.0
GA,Butts County,,,9107.0
GA,Butts County,,,9919.0
GA,Calhoun County,,,10212.0
GA,Calhoun County,,,9501.0
GA,Camden County,0.13,3.0,9171.0
GA,Camden County,0.13,3.0,10089.0
GA,Candler County,0.196,,9439.0
GA,Candler County,0.196,,12410.0
GA,Carroll County,0.191,4.1,9529.0
GA,Carroll County,0.191,4.1,9398.0
GA,Catoosa County,0.197,5.4,10284.0
GA,Catoosa County,0.197,5.4,10580.0
GA,Charlton County,0.182,5.1,13607.0
GA,Charlton County,0.182,5.1,13137.0
GA,Chatham County,0.159,2.8,9286.0
GA,Chatham County,0.159,2.8,9266.0
GA,Chattahoochee County,,,9648.0
GA,Chattahoochee County,,,9233.0
GA,Chattooga County,0.227,6.8,10660.0
GA,Chattooga County,0.227,6.8,10469.0
GA,Cherokee County,0.113,2.7,10138.0
GA,Cherokee County,0.113,2.7,10411.0
GA,Clarke County,0.151,4.3,9060.0
GA,Clarke County,0.151,4.3,9009.0
GA,Clay County,,,6910.0
GA,Clay County,,,8774.0
GA,Clayton County,0.169,3.7,9284.0
GA,Clayton County,0.169,3.7,9336.0
GA,Clinch County,0.207,,13122.0
GA,Clinch County,0.207,,13815.0
GA,Cobb County,0.099,2.8,9705.0
GA,Cobb County,0.099,2.8,9676.0
GA,Coffee County,0.212,3.7,11054.0
GA,Coffee County,0.212,3.7,11588.0
GA,Colquitt County,0.184,5.0,9867.0
GA,Colquitt County,0.184,5.0,10581.0
GA,Columbia County,0.121,2.8,8642.0
GA,Columbia County,0.121,2.8,8836.0
GA,Cook County,0.218,2.7,10301.0
GA,Cook County,0.218,2.7,10765.0
GA,Coweta County,0.172,3.4,9031.0
GA,Coweta County,0.172,3.4,9161.0
GA,Crawford County,0.181,5.7,9843.0
GA,Crawford County,0.181,5.7,8476.0
GA,Crisp County,0.286,4.6,9902.0
GA,Crisp County,0.286,4.6,10618.0
GA,Dade County,0.168,5.5,10091.0
GA,Dade County,0.168,5.5,11187.0
GA,Dawson County,,2.7,10568.0
GA,Dawson County,,2.7,9683.0
GA,DeKalb County,0.116,3.0,8458.0
GA,DeKalb County,0.116,3.0,8565.0
GA,Decatur County,0.203,3.5,8377.0
GA,Decatur County,0.203,3.5,8479.0
GA,Dodge County,0.234,4.7,11459.0
GA,Dodge County,0.234,4.7,11682.0
GA,Dooly County,0.155,,8855.0
GA,Dooly County,0.155,,9737.0
GA,Dougherty County,0.188,3.3,8438.0
GA,Dougherty County,0.188,3.3,8423.0
GA,Douglas County,0.163,3.5,10259.0
GA,Douglas County,0.163,3.5,9960.0
GA,Early County,0.278,,10652.0
GA,Early County,0.278,,12439.0
GA,Echols County,,,10262.0
GA,Echols County,,,10477.0
GA,Effingham County,0.163,3.2,9985.0
GA,Effingham County,0.163,3.2,10321.0
GA,Elbert County,0.235,4.1,8164.0
GA,Elbert County,0.235,4.1,8719.0
GA,Emanuel County,0.211,2.6,10523.0
GA,Emanuel County,0.211,2.6,10542.0
GA,Evans County,0.27,,9752.0
GA,Evans County,0.27,,9914.0
GA,Fannin County,0.246,5.3,9990.0
GA,Fannin County,0.246,5.3,10000.0
GA,Fayette County,0.087,2.9,8426.0
GA,Fayette County,0.087,2.9,8657.0
GA,Floyd County,0.216,5.4,10581.0
GA,Floyd County,0.216,5.4,10332.0
GA,Forsyth County,0.066,2.5,10642.0
GA,Forsyth County,0.066,2.5,10124.0
GA,Franklin County,0.149,,9323.0
GA,Franklin County,0.149,,9162.0
GA,Fulton County,0.111,2.7,8834.0
GA,Fulton County,0.111,2.7,8674.0
GA,Gilmer County,0.197,3.8,9324.0
GA,Gilmer County,0.197,3.8,9165.0
GA,Glascock County,,,9760.0
GA,Glascock County,,,7693.0
GA,Glynn County,0.127,2.5,8901.0
GA,Glynn County,0.127,2.5,8948.0
GA,Gordon County,0.184,4.4,10891.0
GA,Gordon County,0.184,4.4,10850.0
GA,Grady County,0.288,2.8,9360.0
GA,Grady County,0.288,2.8,8163.0
GA,Greene County,0.192,3.5,8564.0
GA,Greene County,0.192,3.5,8913.0
GA,Gwinnett County,0.114,2.7,9402.0
GA,Gwinnett County,0.114,2.7,9838.0
GA,Habersham County,0.171,3.2,9388.0
GA,Habersham County,0.171,3.2,9090.0
GA,Hall County,0.146,3.4,9271.0
GA,Hall County,0.146,3.4,9328.0
GA,Hancock County,,,8774.0
GA,Hancock County,,,8402.0
GA,Haralson County,0.195,4.2,9720.0
GA,Haralson County,0.195,4.2,9515.0
GA,Harris County,0.129,2.7,8858.0
GA,Harris County,0.129,2.7,8609.0
GA,Hart County,,,8574.0
GA,Hart County,,,8591.0
GA,Heard County,,,11174.0
GA,Heard County,,,10486.0
GA,Henry County,0.124,2.9,9290.0
GA,Henry County,0.124,2.9,9432.0
GA,Houston County,0.118,2.4,10197.0
GA,Houston County,0.118,2.4,10402.0
GA,Irwin County,0.15,,9324.0
GA,Irwin County,0.15,,9773.0
GA,Jackson County,0.19,4.3,9353.0
GA,Jackson County,0.19,4.3,9536.0
GA,Jasper County,,,8854.0
GA,Jasper County,,,9906.0
GA,Jeff Davis County,0.232,4.2,10896.0
GA,Jeff Davis County,0.232,4.2,12234.0
GA,Jefferson County,0.195,3.6,9914.0
GA,Jefferson County,0.195,3.6,9045.0
GA,Jenkins County,,,10219.0
GA,Jenkins County,,,9288.0
GA,Johnson County,0.259,4.8,9594.0
GA,Johnson County,0.259,4.8,9913.0
GA,Jones County,0.173,4.4,9789.0
GA,Jones County,0.173,4.4,9799.0
GA,Lamar County,,,10065.0
GA,Lamar County,,,9993.0
GA,Lanier County,0.218,4.5,11508.0
GA,Lanier County,0.218,4.5,11201.0
GA,Laurens County,0.198,3.6,9777.0
GA,Laurens County,0.198,3.6,9781.0
GA,Lee County,0.107,3.3,8906.0
GA,Lee County,0.107,3.3,9505.0
GA,Liberty County,0.212,3.1,9408.0
GA,Liberty County,0.212,3.1,9287.0
GA,Lincoln County,0.12,1.5,10347.0
GA,Lincoln County,0.12,1.5,9658.0
GA,Long County,0.16,,11765.0
GA,Long County,0.16,,12236.0
GA,Lowndes County,0.188,3.2,9520.0
GA,Lowndes County,0.188,3.2,9634.0
GA,Lumpkin County,0.103,2.5,10553.0
GA,Lumpkin County,0.103,2.5,9903.0
GA,Macon County,0.2,,8888.0
GA,Macon County,0.2,,8547.0
GA,Madison County,0.24,4.6,9978.0
GA,Madison County,0.24,4.6,9734.0
GA,Marion County,0.332,4.7,8958.0
GA,Marion County,0.332,4.7,8086.0
GA,McDuffie County,0.239,3.6,8692.0
GA,McDuffie County,0.239,3.6,8366.0
GA,McIntosh County,0.244,3.0,8709.0
GA,McIntosh County,0.244,3.0,9032.0
GA,Meriwether County,0.212,3.2,10121.0
GA,Meriwether County,0.212,3.2,9254.0
GA,Miller County,0.097,2.4,10844.0
GA,Miller County,0.097,2.4,10949.0
GA,Mitchell County,0.16,,9058.0
GA,Mitchell County,0.16,,8710.0
GA,Monroe County,,2.0,10009.0
GA,Monroe County,,2.0,10795.0
GA,Montgomery County,,3.5,9427.0
GA,Montgomery County,,3.5,9067.0
GA,Morgan County,0.121,,9242.0
GA,Morgan County,0.121,,9818.0
GA,Murray County,0.293,5.2,10423.0
GA,Murray County,0.293,5.2,9607.0
GA,Muscogee County,0.171,3.8,9145.0
GA,Muscogee County,0.171,3.8,9386.0
GA,Newton County,0.162,2.6,9200.0
GA,Newton County,0.162,2.6,9519.0
GA,Oconee County,0.128,,9476.0
GA,Oconee County,0.128,,8504.0
GA,Oglethorpe County,0.118,4.3,9064.0
GA,Oglethorpe County,0.118,4.3,9031.0
GA,Paulding County,0.17,4.2,11100.0
GA,Paulding County,0.17,4.2,10867.0
GA,Peach County,0.258,3.5,9975.0
GA,Peach County,0.258,3.5,11192.0
